event_id,event_type,begin_time,peak_time,end_time,class_type,source_location,active_region,instruments,note
2025-05-27T18:55:00-HSS-001,High Speed Stream,2025-05-27T18:55Z,,,,,,"DSCOVR: PLASMAG, ACE: SWEPAM, ACE: MAG",
2025-05-31T01:00:00-HSS-001,High Speed Stream,2025-05-31T01:00Z,,,,,,"STEREO A: IMPACT, STEREO A: PLASTIC",
2025-05-28T23:11:00-HSS-001,High Speed Stream,2025-05-28T23:11Z,,,,,,"ACE: SWEPAM, ACE: MAG, DSCOVR: PLASMAG",
2025-06-08T21:30:00-HSS-001,High Speed Stream,2025-06-08T21:30Z,,,,,,"DSCOVR: PLASMAG, ACE: SWEPAM, ACE: MAG",
2025-06-11T11:25:00-HSS-001,High Speed Stream,2025-06-11T11:25Z,,,,,,"ACE: MAG, ACE: SWEPAM, DSCOVR: PLASMAG",
2025-06-10T16:00:00-HSS-001,High Speed Stream,2025-06-10T16:00Z,,,,,,"STEREO A: IMPACT, STEREO A: PLASTIC",
2025-06-14T01:49:00-HSS-001,High Speed Stream,2025-06-14T01:49Z,,,,,,"DSCOVR: PLASMAG, ACE: SWEPAM, ACE: MAG",
2025-06-27T08:00:00-HSS-001,High Speed Stream,2025-06-27T08:00Z,,,,,,"STEREO A: PLASTIC, STEREO A: IMPACT",
2025-03-12T14:17:00-HSS-001,High Speed Stream,2025-03-12T14:17Z,,,,,,"ACE: MAG, ACE: SWEPAM, DSCOVR: PLASMAG",
2025-06-25T19:04:00-HSS-001,High Speed Stream,2025-06-25T19:04Z,,,,,,"ACE: MAG, ACE: SWEPAM, DSCOVR: PLASMAG",
2025-07-05T05:38:00-HSS-001,High Speed Stream,2025-07-05T05:38Z,,,,,,"DSCOVR: PLASMAG, ACE: SWEPAM, ACE: MAG",
